127.0.0.1 - - [26/Mar/2016:12:18:24 +0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [26/Mar/2016:12:18:59 +0800] "GET /SSM_BS/ HTTP/1.1" 200 52
0:0:0:0:0:0:0:1 - - [26/Mar/2016:12:19:11 +0800] "GET /SSM_BS/user/showUser?id=2 HTTP/1.1" 200 255
0:0:0:0:0:0:0:1 - - [26/Mar/2016:12:19:11 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [26/Mar/2016:12:21:02 +0800] "GET /SSM_BS/manager/index.jsp HTTP/1.1" 200 12904
0:0:0:0:0:0:0:1 - - [26/Mar/2016:12:21:02 +0800] "GET /SSM_BS/assets/global/plugins/pace/pace.min.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [26/Mar/2016:12:21:02 +0800] "GET /SSM_BS/assets/global/plugins/pace/themes/pace-theme-flash.css HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [26/Mar/2016:12:21:02 +0800] "GET /SSM_BS/assets/global/plugins/font-awesome/css/font-awesome.min.css HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [26/Mar/2016:12:21:02 +0800] "GET /SSM_BS/assets/global/plugins/simple-line-icons/simple-line-icons.min.css HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [26/Mar/2016:12:21:02 +0800] "GET /SSM_BS/assets/global/plugins/bootstrap/css/bootstrap.min.css HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [26/Mar/2016:12:21:02 +0800] "GET /SSM_BS/assets/global/plugins/uniform/css/uniform.default.css HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [26/Mar/2016:12:21:02 +0800] "GET /SSM_BS/assets/global/plugins/vendors/css/style.css HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [26/Mar/2016:12:21:02 +0800] "GET /SSM_BS/assets/global/plugins/datatables/plugins/bootstrap/dataTables.bootstrap.css HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [26/Mar/2016:12:21:02 +0800] "GET /SSM_BS/assets/global/plugins/bootstrap-datepicker/css/datepicker.css HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [26/Mar/2016:12:21:02 +0800] "GET /SSM_BS/assets/global/plugins/bootstrap-datetimepicker/css/bootstrap-datetimepicker.min.css HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [26/Mar/2016:12:21:02 +0800] "GET /SSM_BS/assets/global/plugins/bootstrap-datetimepicker/css/bootstrap-weektimepicker.css HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [26/Mar/2016:12:21:02 +0800] "GET /SSM_BS/assets/global/css/plugins.css HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [26/Mar/2016:12:21:02 +0800] "GET /SSM_BS/assets/global/css/components.css HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [26/Mar/2016:12:21:02 +0800] "GET /SSM_BS/assets/admin/layout2/css/layout.css HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [26/Mar/2016:12:21:02 +0800] "GET /SSM_BS/assets/admin/layout2/css/themes/grey.css HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [26/Mar/2016:12:21:02 +0800] "GET /SSM_BS/assets/admin/layout2/css/custom.css HTTP/1.1" 404 949
